210,1.713,0.235
220,1.735,0.154
230,1.74,0.103
240,1.72,0.056
250,1.684,0.034
260,1.651,0.03
270,1.623,0.033
280,1.594,0.042
290,1.567,0.057
300,1.539,0.076
310,1.507,0.109
320,1.48,0.163
330,1.478,0.241
340,1.52,0.315
350,1.587,0.356
360,1.654,0.369
370,1.714,0.362
380,1.765,0.338
390,1.797,0.304
400,1.814,0.273
410,1.824,0.249
420,1.834,0.228
430,1.843,0.204
440,1.848,0.178
450,1.845,0.149
460,1.83,0.123
470,1.809,0.108
480,1.791,0.104
490,1.777,0.104
500,1.767,0.105
510,1.759,0.106
520,1.752,0.109
530,1.747,0.113
540,1.745,0.115
550,1.744,0.115
560,1.74,0.114
570,1.736,0.114
580,1.732,0.115
590,1.729,0.116
600,1.727,0.117
610,1.724,0.117
620,1.721,0.116
630,1.717,0.115
640,1.714,0.114
650,1.707,0.112
660,1.698,0.114
670,1.691,0.118
680,1.686,0.122
690,1.68,0.127
700,1.675,0.131
710,1.671,0.137
720,1.667,0.142
730,1.663,0.149
740,1.66,0.155
750,1.658,0.162
760,1.658,0.169
770,1.657,0.175
780,1.657,0.18
790,1.657,0.184
800,1.655,0.188
810,1.653,0.195
820,1.652,0.203
830,1.653,0.212
840,1.657,0.221
850,1.663,0.227
860,1.669,0.231
870,1.676,0.233
880,1.68,0.232
890,1.683,0.232
900,1.685,0.231
910,1.684,0.231
920,1.684,0.234
930,1.684,0.237
940,1.686,0.242
950,1.69,0.247
960,1.696,0.251
970,1.705,0.253
980,1.715,0.253
990,1.725,0.248
1000,1.735,0.24
1010,1.741,0.227
1020,1.743,0.213
1030,1.74,0.198
1040,1.733,0.185
1050,1.724,0.175
1060,1.713,0.168
1070,1.701,0.163
1080,1.691,0.16
1090,1.68,0.158
1100,1.669,0.158
1110,1.659,0.158
1120,1.649,0.16
1130,1.641,0.162
1140,1.633,0.164
1150,1.625,0.165
1160,1.616,0.167
1170,1.608,0.169
1180,1.599,0.172
1190,1.59,0.176
1200,1.583,0.181
1210,1.576,0.183
1220,1.568,0.187
1230,1.56,0.191
1240,1.552,0.194
1250,1.544,0.199
1260,1.536,0.203
1270,1.529,0.207
1280,1.521,0.212
1290,1.512,0.217
1300,1.504,0.222
1310,1.495,0.228
1320,1.488,0.234
1330,1.479,0.24
1340,1.471,0.247
1350,1.463,0.253
1360,1.454,0.26
1370,1.446,0.268
1380,1.437,0.276
1390,1.429,0.284
1400,1.421,0.292
1410,1.412,0.301
1420,1.404,0.31
1430,1.396,0.32
1440,1.388,0.33
1450,1.379,0.341
1460,1.372,0.352
1470,1.365,0.364
1480,1.357,0.375
1490,1.35,0.388
1500,1.343,0.401
1510,1.337,0.414
1520,1.331,0.427
1530,1.325,0.44
1540,1.318,0.455
1550,1.313,0.471
1560,1.31,0.486
1570,1.306,0.501
1580,1.303,0.516
1590,1.299,0.532
1600,1.297,0.549
1610,1.296,0.565
1620,1.295,0.581
1630,1.294,0.597
1640,1.294,0.613
1650,1.295,0.629
1660,1.296,0.645
1670,1.297,0.661
1680,1.299,0.677
1690,1.302,0.692
1700,1.305,0.708
1710,1.308,0.723
1720,1.312,0.738
1730,1.316,0.753
1740,1.32,0.768
1750,1.325,0.782
1760,1.33,0.796
1770,1.335,0.81
1780,1.341,0.824
1790,1.348,0.838
1800,1.354,0.85
1810,1.36,0.862
1820,1.366,0.875
1830,1.372,0.888
1840,1.379,0.901
1850,1.388,0.912
1860,1.394,0.923
1870,1.4,0.934
1880,1.407,0.946
1890,1.415,0.957
1900,1.422,0.968
1910,1.43,0.979
1920,1.438,0.99
1930,1.446,1
1940,1.454,1.01
1950,1.462,1.02
1960,1.47,1.029
1970,1.478,1.039
1980,1.486,1.048
1990,1.495,1.057
2000,1.503,1.067
2010,1.512,1.076
2020,1.52,1.085
2030,1.529,1.093
2040,1.538,1.101
2050,1.547,1.109
2060,1.556,1.117
2070,1.565,1.125
2080,1.574,1.132
2090,1.583,1.139
2100,1.591,1.146
2110,1.6,1.153
2120,1.609,1.16
2130,1.618,1.166
2140,1.627,1.173
2150,1.636,1.18
2160,1.645,1.186
2170,1.654,1.192
2180,1.662,1.198
2190,1.671,1.203
2200,1.68,1.209
2210,1.689,1.215
2220,1.698,1.221
2230,1.706,1.226
2240,1.715,1.231
2250,1.724,1.237
2260,1.733,1.243
2270,1.742,1.248
2280,1.751,1.253
2290,1.76,1.257
2300,1.769,1.262
2310,1.778,1.267
2320,1.787,1.271
2330,1.796,1.275
2340,1.805,1.279
2350,1.814,1.284
2360,1.823,1.288
2370,1.832,1.291
2380,1.841,1.295
2390,1.849,1.298
2400,1.858,1.302
2410,1.867,1.306
2420,1.876,1.309
2430,1.885,1.312
2440,1.893,1.315
2450,1.901,1.318
2460,1.91,1.322
2471.2,1.919,1.325
2480,1.928,1.328
2490,1.937,1.331
2500,1.946,1.334
2506.3,1.952,1.335
2512.6,1.957,1.336
2518.9,1.963,1.338
2525.3,1.969,1.339
2531.6,1.974,1.34
2538.1,1.979,1.341
2544.5,1.985,1.344
2551,1.991,1.345
2557.5,1.997,1.345
2564.1,2.002,1.346
2570.7,2.006,1.348
2577.3,2.012,1.35
2584,2.018,1.351
2590.7,2.024,1.352
2597.4,2.029,1.353
2604.2,2.035,1.355
2611,2.041,1.356
2617.8,2.047,1.356
2624.7,2.053,1.357
2631.6,2.059,1.358
2638.5,2.065,1.358
2645.5,2.07,1.359
2652.5,2.076,1.36
2659.6,2.081,1.361
2666.7,2.087,1.361
2673.8,2.092,1.362
2681,2.097,1.364
2688.2,2.103,1.365
2695.4,2.11,1.366
2702.7,2.116,1.367
2710,2.122,1.366
2717.4,2.127,1.366
2724.8,2.132,1.368
2732.2,2.138,1.371
2739.7,2.146,1.372
2747.3,2.153,1.372
2754.8,2.159,1.372
2762.4,2.166,1.371
2770.1,2.172,1.371
2777.8,2.178,1.37
2785.5,2.184,1.369
2793.3,2.189,1.368
2801.1,2.193,1.368
2809,2.198,1.37
2816.9,2.204,1.371
2824.9,2.211,1.372
2832.9,2.217,1.372
2840.9,2.223,1.372
2849,2.229,1.372
2857.1,2.235,1.371
2865.3,2.241,1.372
2873.6,2.247,1.372
2881.8,2.254,1.372
2890.2,2.26,1.372
2898.6,2.266,1.372
2907,2.272,1.372
2915.5,2.279,1.371
2924,2.285,1.37
2932.6,2.29,1.369
2941.2,2.295,1.369
2949.9,2.302,1.37
2958.6,2.309,1.37
2967.4,2.316,1.37
2976.2,2.322,1.369
2985.1,2.329,1.368
2994,2.336,1.367
3003,2.342,1.366
3012,2.349,1.365
3021.1,2.355,1.364
